"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","test_delete_category[14-204]","","Mon Apr 28 09:44:53 CST 2025","failed","Mon Apr 28 09:44:53 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","24","test_partial_update_enterprise_category[1-payload0-200]","","Mon Apr 28 09:44:52 CST 2025","failed","Mon Apr 28 09:44:52 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","45","test_add_enterprise_category[payload0-201]","","Mon Apr 28 10:12:46 CST 2025","failed","Mon Apr 28 10:12:46 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","24","test_delete_category[test_id-200]","","Sun Apr 27 17:37:03 CST 2025","broken","Sun Apr 27 17:37:03 CST 2025","TestEnterpriseCategory","test_api","",""
"","33","test_get_category_by_id[1-200]","","Mon Apr 28 09:44:52 CST 2025","broken","Mon Apr 28 09:44:53 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","101","test_add_enterprise_category[payload0-201]","","Mon Apr 28 10:28:57 CST 2025","failed","Mon Apr 28 10:28:57 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","128","test_add_enterprise_category[payload0-201]","","Mon Apr 28 10:29:30 CST 2025","passed","Mon Apr 28 10:29:30 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","25","test_get_category_tree[params0-200]","","Mon Apr 28 09:44:52 CST 2025","broken","Mon Apr 28 09:44:52 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","41","test_get_category_tree[params0-200]","","Sun Apr 27 17:37:03 CST 2025","broken","Sun Apr 27 17:37:03 CST 2025","TestEnterpriseCategory","test_api","",""
"","44","test_add_enterprise_category[payload0-200]","","Sun Apr 27 17:37:03 CST 2025","failed","Sun Apr 27 17:37:03 CST 2025","TestEnterpriseCategory","test_api","",""
"","22","test_get_category_by_id[test_id-200]","","Sun Apr 27 17:37:03 CST 2025","broken","Sun Apr 27 17:37:03 CST 2025","TestEnterpriseCategory","test_api","",""
"","38","test_update_enterprise_category[1-payload0-200]","","Mon Apr 28 09:44:52 CST 2025","failed","Mon Apr 28 09:44:52 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","20","test_update_enterprise_category[test_id-payload0-200]","","Sun Apr 27 17:37:03 CST 2025","failed","Sun Apr 27 17:37:03 CST 2025","TestEnterpriseCategory","test_api","",""
"","156","test_add_enterprise_category[payload0-200]","","Mon Apr 28 10:22:43 CST 2025","failed","Mon Apr 28 10:22:43 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","83","test_add_enterprise_category[payload0-201]","","Mon Apr 28 20:19:05 CST 2025","passed","Mon Apr 28 20:19:05 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","134","test_add_enterprise_category[payload0-200]","","Mon Apr 28 10:23:32 CST 2025","failed","Mon Apr 28 10:23:33 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
"","0","test_add_enterprise_category[payload0-200]","","Mon Apr 28 10:16:54 CST 2025","broken","Mon Apr 28 10:16:54 CST 2025","","test_enterprise_category","",""
"","19","test_partial_update_enterprise_category[test_id-payload0-200]","","Sun Apr 27 17:37:03 CST 2025","failed","Sun Apr 27 17:37:03 CST 2025","TestEnterpriseCategory","test_api","",""
"","32","test_add_enterprise_category[payload0-500]","","Mon Apr 28 09:44:52 CST 2025","failed","Mon Apr 28 09:44:52 CST 2025","TestEnterpriseCategory","test_enterprise_category","",""
